,Name,Year,Theme,subtheme,Theme Group,Number of Pieces,Price in USD
1986,Straight Rails,1991,Trains,9V,Modern day,8.0,12.99
1987,Curved Rails,1991,Trains,9V,Modern day,8.0,12.99
1988,Manual Points with Track,1991,Trains,9V,Modern day,6.0,27.99
1993,Transformer and Speed Regulator,1991,Trains,9V,Modern day,3.0,41.99
2111,Large Building Plate,1992,Duplo,,Pre-school,1.0,14.99
2237,Straight Track (Straight Rails),1993,Duplo,Trains,Pre-school,6.0,4.99
2238,Curved Track (Curved Rails),1993,Duplo,Trains,Pre-school,6.0,4.99
2677,"Building Plate, Green",1996,Basic,Supplementaries,Basic,1.0,4.99
2679,X-Large Baseplate Grey,1996,Basic,Supplementaries,Basic,1.0,14.99
2681,"Brick Separator, Green",1996,Basic,Supplementaries,Basic,1.0,2.49
2882,Transformer 9 V,1996,Dacta,,Educational,1.0,23.99
3067,"Road Plates, Cross",1997,Town,Accessories,Modern day,2.0,6.99
3173,Building Plates,1998,Duplo,,Pre-school,3.0,6.99
3512,Small Building Plates,1998,Dacta,System,Educational,9.0,14.99
3724,Rail Crossing,1999,Trains,9V,Modern day,1.0,9.99
4045,2x4 Black Bricks,2000,Bulk Bricks,,Basic,50.0,6.99
4048,2x4 Dark Green Bricks,2000,Bulk Bricks,,Basic,50.0,6.99
4049,2x4 Red Bricks,2000,Bulk Bricks,,Basic,50.0,6.99
4057,1x4 White Bricks,2000,Bulk Bricks,,Basic,50.0,5.99
4072,2x4 Red Plates,2000,Bulk Bricks,,Basic,100.0,8.99
4076,2x8 Black Plates,2000,Bulk Bricks,,Basic,25.0,4.99
4093,Pumpkin Pack,2000,Bulk Bricks,Seasonal,Basic,87.0,9.99
4094,Castle Expander Pack,2000,Bulk Bricks,Castle,Basic,24.0,4.99
4096,Blue Train Windows with Panes,2000,Bulk Bricks,Trains,Basic,20.0,5.99
4105,Darth Vader,2000,Gear,Key Chains/Star Wars,Miscellaneous,,4.99
4263,"1x4x6 Red Door and Frames, Transparent Green Panes",2000,Bulk Bricks,,Basic,10.0,9.99
4265,"2 x 4 Ridge Roof Tiles, Low Sloped Red",2000,Bulk Bricks,,Basic,25.0,4.99
4421,Life On Mars Accessories,2001,Bulk Bricks,Space,Basic,48.0,4.99
4648,Assorted Yellow Bricks,2001,Bulk Bricks,,Basic,62.0,4.99
4649,Assorted Blue Plates,2001,Bulk Bricks,,Basic,42.0,4.99
4653,Green Passenger Wagon,2001,Trains,9V,Modern day,194.0,19.99
4661,2 x 2 Sand Red Roof Tile,2001,Bulk Bricks,,Basic,100.0,7.99
4662,Jumper Bricks,2001,Bulk Bricks,,Basic,80.0,4.99
4803,"Road Plates, Curved",2002,Town,Accessories,Modern day,2.0,6.99
5049,Imperial Star Destroyer,2002,Star Wars,Ultimate Collector Series,Licensed,3096.0,269.99
5055,Windows and Doors,2002,Bulk Bricks,,Basic,44.0,7.99
5058,Arch,2002,Bulk Bricks,,Basic,36.0,5.99
5065,Black Roof Tiles,2002,Bulk Bricks,,Basic,68.0,5.99
5066,Black Roof Tiles,2002,Bulk Bricks,,Basic,50.0,5.99
5073,Red Plates,2002,Bulk Bricks,,Basic,84.0,4.99
5083,Technic Gear Wheels,2002,Bulk Bricks,Technic,Basic,39.0,12.99
5084,Train Motor 9 V,2002,Trains,9V,Modern day,3.0,24.99
5465,Technic Beams,2003,Bulk Bricks,Technic,Basic,56.0,9.99
5466,Technic Bushes,2003,Bulk Bricks,Technic,Basic,130.0,9.99
5469,Train Connection Wire,2003,Trains,9V,Modern day,1.0,8.99
5471,Angel,2003,Seasonal,Christmas,Miscellaneous,33.0,2.49
5604,3-Seat Playtable,2004,Gear,Furniture,Miscellaneous,,249.99
5618,Pony and Cart,2004,Duplo,LEGO Ville,Pre-school,5.0,4.99
5622,Tractor-Trailer,2004,Duplo,LEGO Ville,Pre-school,8.0,12.99
5681,Pop Studio,2004,Belville,,Girls,102.0,22.99
5854,Black Ridge Tiles,2004,Bulk Bricks,,Basic,48.0,5.99
5855,Black Roof Tiles,2004,Bulk Bricks,,Basic,76.0,5.99
5922,Bricks with Magnets,2004,Gear,Magnets/Bricks,Miscellaneous,,14.99
5982,Scoop and Lofty at the Building Yard,2005,Duplo,Bob the Builder,Pre-school,59.0,29.99
5986,My First Train,2005,Duplo,Trains,Pre-school,12.0,9.99
5987,Train Starter Set,2005,Duplo,Trains,Pre-school,65.0,49.99
5988,Deluxe Train Set,2005,Duplo,Trains,Pre-school,110.0,89.99
5989,Level Crossing,2005,Duplo,Trains,Pre-school,14.0,7.99
5990,Bridge,2005,Duplo,Trains,Pre-school,26.0,19.99
5991,Points,2005,Duplo,Trains,Pre-school,2.0,6.99
